sh,ei,2,谁,shéi,who
,en,1,恩,ēn,favor
,en,3,䅰,ěn,kind of grass
,en,4,摁,èn,to press
b,en,1,奔,bēn,to hurry
b,en,3,本,běn,root; stem
b,en,4,笨,bèn,stupid; foolish
p,en,1,喷,pēn,to puff
p,en,2,盆,pén,basin
p,en,4,喷,pèn,(of a smell) strong
m,en,1,闷,mēn,shut indoors
m,en,2,门,mén,gate; door
m,en,4,懑,mèn,melancholy
f,en,1,分,fēn,to divide
f,en,2,坟,fén,grave
f,en,3,粉,fěn,powder
f,en,4,忿,fèn,anger
d,en,4,扽,dèn,to yank; to pull tight
n,en,4,嫩,nèn,tender; soft
g,en,1,根,gēn,root
g,en,2,哏,gén,funny
g,en,3,艮,gěn,tough
g,en,4,亘,gèn,extending all the way across
k,en,3,肯,kěn,to agree
k,en,4,掯,kèn,to push down
h,en,2,拫,hén,to pull; to drag
h,en,3,佷,hěn,to act contrary to
h,en,4,恨,hèn,to hate
z,en,1,㻸,zēn,jade stone
z,en,3,怎,zěn,how
z,en,4,谮,zèn,to slander
s,en,1,森,sēn,forest
c,en,1,嵾,cēn,uneven
c,en,2,涔,cén,overflow;
zh,en,1,真,zhēn,really
zh,en,3,畛,zhěn,border
zh,en,4,震,zhèn,to shake
sh,en,1,深,shēn,deep
sh,en,2,什,shén,what
sh,en,3,审,shěn,to examine
sh,en,4,慎,shèn,careful
ch,en,1,嗔,chēn,to be angry at
ch,en,2,谌,chén,faithful
ch,en,3,碜,chěn,gritty (of food)
ch,en,4,儭,chèn,to assist
r,en,2,人,rén,person
r,en,3,忍,rěn,to bear
r,en,4,人,rén,person
,eng,1,鞥,ēng,reins
b,eng,1,绷,bēng,to draw tight
b,eng,2,甭,béng,need not; please don't
b,eng,3,菶,běng,expand
b,eng,4,蹦,bèng,to jump
p,eng,1,匉,pēng,noise of waters
p,eng,2,朋,péng,friend
p,eng,3,𡗗,pěng,folded hands
p,eng,4,碰,pèng,to touch; to meet with
m,eng,1,蒙,mēng,to cheat
m,eng,2,檬,méng,lemon
m,eng,3,艋,měng,small boat
m,eng,4,梦,mèng,dream
f,eng,1,风,fēng,wind
f,eng,2,逢,féng,to meet by chance
f,eng,3,唪,fěng,recite; chant
f,eng,4,俸,fèng,salary
d,eng,1,灯,dēng,lamp; light
d,eng,3,等,děng,class
d,eng,4,瞪,dèng,to stare at
t,eng,1,熥,"tēng, tōng (Tw)",cooked food by baking or steaming
t,eng,2,疼,téng,(it) hurts; sore
n,eng,2,能,néng,(physics) energy
n,eng,3,𠹌,něng,"uncommon, rare"
n,eng,4,㲌,nèng,dog's hair
l,eng,2,崚,léng,lofty (as of mountain)
l,eng,3,冷,lěng,cold
l,eng,4,愣,lèng,to look distracted
g,eng,1,耕,gēng,to plow; to till
g,eng,3,梗,gěng,branch
g,eng,4,更,gèng,more; even more
k,eng,1,坑,kēng,hole;
h,eng,1,哼,hēng,to snort
h,eng,2,横,héng,horizontal
h,eng,4,横,hèng,harsh and unreasonable
z,eng,1,增,zēng,to increase
z,eng,3,㽪,zěng,rice field
z,eng,4,赠,zèng,to give as a present
s,eng,1,鬙,sēng,short hair
s,eng,4,𡬙,sèng,to wake up
c,eng,1,噌,cēng,to scold
c,eng,2,层,céng,layer
c,eng,4,蹭,cèng,to rub against
zh,eng,1,睁,zhēng,to open (one's eyes)
zh,eng,3,整,zhěng,exactly
zh,eng,4,正,zhèng,straight
sh,eng,1,声,shēng,sound; voice
sh,eng,2,绳,shéng,rope
sh,eng,3,省,shěng,to save
sh,eng,4,剩,shèng,to remain
ch,eng,1,称,chēng,to weigh
ch,eng,2,成,chéng,to succeed
ch,eng,3,悜,chěng,obscure
ch,eng,4,秤,chèng,steelyard
r,eng,1,扔,rēng,to throw
r,eng,2,仍,réng,still; yet
r,eng,4,芿,èng,weeds that regrow from cut-down roots
,er,2,而,ér,and; as well as
,er,3,迩,ěr,recently
,er,4,迩,ěr,recently
b,i,1,逼,bī,to force (somebody to do something)
b,i,2,鼻,bí,nose
b,i,3,笔,bǐ,pen
b,i,4,必,bì,certainly
p,i,1,劈,pī,to chop
p,i,2,皮,pí,leather; skin
p,i,3,劈,pǐ,to split in two
p,i,4,媲,pì,to match; to pair
m,i,1,咪,mī,sound for calling a cat
m,i,2,谜,mí,riddle
m,i,3,米,mǐ,rice
m,i,4,密,mì,secret
d,i,1,滴,dī,a drop
d,i,2,敌,dí,enemy
d,i,3,底,dǐ,background
d,i,4,地,dì,earth; ground
t,i,1,踢,tī,to kick
t,i,2,提,tí,to carry
t,i,3,体,tǐ,body
t,i,4,剃,tì,to shave
n,i,1,妮,nī,girl
n,i,2,泥,ní,mud; clay
n,i,3,你,nǐ,you
n,i,4,匿,nì,to hide
l,i,2,离,lí,to leave;
l,i,3,里,lǐ,interior
l,i,4,力,lì,power
q,i,1,七,qī,seven
q,i,2,棋,qí,chess
q,i,3,起,qǐ,to get up
q,i,4,气,qì,gas
j,i,1,鸡,jī,fowl; chicken
j,i,2,极,jí,extremely
j,i,3,挤,jǐ,to crowd in
j,i,4,寄,jì,to send
x,i,1,西,xī,west
x,i,2,席,xí,banquet
x,i,3,洗,xǐ,to wash
x,i,4,系,xì,system
z,i,1,訾,zī,to calculate
z,i,3,紫,zǐ,purple; violet
z,i,4,字,zì,letter; symbol
s,i,1,撕,sī,to tear
s,i,3,死,sǐ,to die
s,i,4,四,sì,four
c,i,1,差,cī,irregular
c,i,2,词,cí,word
c,i,3,此,cǐ,this; these
c,i,4,次,cì,next in sequence
zh,i,1,支,zhī,to support
zh,i,2,直,zhí,straight
zh,i,3,只,zhǐ,only
zh,i,4,治,zhì,to rule
sh,i,1,诗,shī,poem
sh,i,2,十,shí,ten
sh,i,3,使,shǐ,to make
sh,i,4,试,shì,to test
ch,i,1,吃,chī,to eat
ch,i,2,迟,chí,late;
ch,i,3,侈,chǐ,extravagant
ch,i,4,赤,chì,red
r,i,4,日,rì,sun
,ia,1,丫,yā,fork
,ia,2,牙,yá,tooth;
,ia,3,哑,yǎ,mute
,ia,4,轧,yà,to crush
d,ia,3,嗲,diǎ,coy; childish
l,ia,3,俩,liǎ,both; some
q,ia,1,掐,qiā,to pick (flowers)
q,ia,3,卡,qiǎ,to block
q,ia,4,恰,qià,just
j,ia,1,家,jiā,home; family
j,ia,2,戛,jiá,lance; to tap
j,ia,3,假,jiǎ,fake
j,ia,4,架,jià,to support
x,ia,1,瞎,xiā,blind
x,ia,2,峡,xiá,gorge
x,ia,3,閜,xiǎ,to split open
x,ia,4,下,xià,down
,ian,1,淹,yān,to flood
,ian,2,沿,yán,along
,ian,3,演,yǎn,to develop
,ian,4,咽,yàn,to swallow
b,ian,1,边,biān,side; edge
b,ian,3,扁,biǎn,flat
b,ian,4,变,biàn,to change; to become different
p,ian,1,篇,piān,sheet
p,ian,2,蹁,pián,to limp
p,ian,3,脸,liǎn,face
p,ian,4,片,piàn,film
m,ian,2,眠,mián,to sleep
m,ian,3,愐,miǎn,shy
m,ian,4,㴐,miàn,flowing water
d,ian,1,巅,diān,summit
d,ian,3,点,diǎn,point
d,ian,4,电,diàn,lightning
t,ian,1,天,tiān,day; sky
t,ian,2,田,tián,field; farm
t,ian,3,忝,tiǎn,to shame
t,ian,4,㶺,tiàn,light or glow of fire
n,ian,1,拈,niān,to nip
n,ian,2,年,nián,year
n,ian,3,涊,niǎn,muddy water
n,ian,4,念,niàn,to read
l,ian,2,连,lián,to link; to join
l,ian,3,炼,liàn,to refine; to smelt
l,ian,4,炼,liàn,to refine; to smelt
q,ian,1,千,qiān,thousand
q,ian,2,钱,qián,coin
q,ian,3,浅,qiǎn,shallow
q,ian,4,嵌,qiàn,to inlay
j,ian,1,间,jiān,between
j,ian,3,捡,jiǎn,to pick up; to collect
j,ian,4,件,jiàn,item
x,ian,1,先,xiān,early
x,ian,2,嫌,xián,to dislike
x,ian,3,险,xiǎn,danger
x,ian,4,线,xiàn,thread
,iang,1,央,yāng,center
,iang,2,羊,yáng,sheep
,iang,3,氧,yǎng,oxygen
,iang,4,样,yàng,pattern
n,iang,2,娘,niáng,mother
n,iang,4,酿,niàng,to make honey
l,iang,2,量,liáng,to measure
l,iang,3,两,liǎng,two; both; some
l,iang,4,亮,liàng,bright
q,iang,1,枪,qiāng,gun
q,iang,2,墙,qiáng,wall
q,iang,3,抢,qiǎng,to fight over
q,iang,4,呛,qiàng,to irritate the nose
j,iang,1,江,jiāng,river
j,iang,3,讲,jiǎng,to speak
j,iang,4,降,jiàng,to drop
x,iang,1,箱,xiāng,box
x,iang,2,降,xiáng,to surrender
x,iang,3,想,xiǎng,to think
x,iang,4,向,xiàng,towards
,iao,1,腰,yāo,waist
,iao,2,摇,yáo,to shake
,iao,3,咬,yǎo,to bite
,iao,4,要,yào,important
b,iao,1,标,biāo,mark
b,iao,2,嫑,biáo,don't; must not
b,iao,3,表,biǎo,pocket watch
b,iao,4,㧼,biào,to distribute
p,iao,1,飘,piāo,to float
p,iao,2,䴩,piáo,kind of deer
p,iao,3,皫,piǎo,white
p,iao,4,票,piào,ticket
m,iao,1,喵,miāo,cat's mewing
m,iao,2,䁧,miáo,to open wide (eyes)
m,iao,3,秒,miǎo,second (unit of time)
m,iao,4,妙,miào,clever; wonderful
d,iao,1,刁,diāo,artful
d,iao,4,吊,diào,to suspend
t,iao,1,恌,tiāo,frivolous
t,iao,2,趒,tiáo,to climb over
t,iao,3,誂,tiǎo,to tempt
t,iao,4,眺,tiào,to gaze into the distance
n,iao,3,鸟,niǎo,bird
n,iao,4,尿,niào,urine
l,iao,1,撩,liāo,to lift up
l,iao,2,聊,liáo,to chat
l,iao,3,了,liǎo,to finish
l,iao,4,料,liào,to expect
q,iao,1,敲,qiāo,to hit; to strike
q,iao,2,桥,qiáo,bridge
q,iao,3,悄,qiǎo,quiet; sad
q,iao,4,壳,qiào,shell
j,iao,1,教,jiāo,to teach
j,iao,2,嚼,jiáo,to chew
j,iao,3,脚,jiǎo,foot
j,iao,4,叫,jiào,to shout
x,iao,1,消,xiāo,to disappear
x,iao,2,崤,xiáo,name of a mountain in Henan
x,iao,3,小,xiǎo,small
x,iao,4,笑,xiào,laugh; smile
,ie,1,掖,yē,to tuck (into a pocket
,ie,2,爷,yé,grandpa
,ie,3,也,yě,also
,ie,4,夜,yè,night
b,ie,1,憋,biē,to choke
b,ie,2,䏟,bié,big; large
b,ie,3,瘪,biě,deflated; shriveled
b,ie,4,䌘,biè,to knit
p,ie,1,撇,piē,to cast away
p,ie,3,撇,piě,to throw
m,ie,1,乜,miē,to squint
m,ie,4,灭,miè,to extinguish or put out
d,ie,1,褺,diē,"dirty, ragged"
d,ie,2,咥,dié,gnaw; bite
t,ie,1,贴,tiē,to stick; to paste
t,ie,2,䩞,tié,trappings
t,ie,3,铁,tiě,iron (metal)
t,ie,4,呫,tiè,to mutter
n,ie,1,捏,niē,to pinch
n,ie,2,苶,nié,weary; tired
n,ie,4,聂,niè,to whisper
l,ie,1,咧,liē,to cry
l,ie,3,䟩,liě,hard of walk forward
l,ie,4,劣,liè,inferior
q,ie,1,切,qiē,to cut; to slice
q,ie,2,茄,qié,eggplant
q,ie,3,且,qiě,and; moreover
q,ie,4,帹,qiè,man's headband
j,ie,1,接,jiē,to receive
j,ie,2,节,jié,festival
j,ie,3,解,jiě,to divide; to break up
j,ie,4,借,jiè,to lend
x,ie,1,歇,xiē,to rest
x,ie,2,鞋,xié,shoe
x,ie,3,写,xiě,to write
x,ie,4,谢,xiè,to thank; to apologize
,in,1,阴,yīn,cloudy
,in,2,银,yín,silver
,in,3,引,yǐn,to draw
,in,4,印,yìn,to print
b,in,1,傧,bīn,best man
b,in,3,䐔,bǐn,muscle of the calf (of the leg)
b,in,4,摈,bìn,to reject
p,in,1,拼,pīn,to piece together
p,in,2,贫,pín,poor
p,in,3,品,pǐn,product
p,in,4,聘,pìn,to engage
m,in,2,旻,mín,heaven
m,in,3,刡,mǐn,to scrape; to pare
n,in,2,您,nín,you
l,in,1,拎,līn,to lift; to carry in one's hand
l,in,2,淋,lín,to sprinkle
l,in,3,僯,lǐn,ashamed
l,in,4,淋,lìn,to filter
q,in,1,亲,qīn,parent
q,in,2,勤,qín,diligent
q,in,3,昑,qǐn,bright
q,in,4,㤈,qìn,sad; sorrowful
j,in,1,金,jīn,gold
j,in,3,仅,jǐn,barely
j,in,4,进,jìn,to go forward
x,in,1,心,xīn,heart
x,in,2,镡,xín,guard (on a sword handle)
x,in,3,伈,xǐn,nervous; fearful
x,in,4,信,xìn,letter; mail
,ing,1,应,yīng,to agree (to do something)
,ing,2,赢,yíng,to beat; to win
,ing,3,颖,yǐng,head of grain
,ing,4,硬,yìng,hard
b,ing,1,兵,bīng,soldiers
b,ing,3,饼,bǐng,cookie
b,ing,4,病,bìng,illness
p,ing,1,娉,pīng,graceful
p,ing,2,瓶,píng,bottle
p,ing,4,䀻,pìng,to look
m,ing,2,名,míng,name
m,ing,3,酩,mǐng,intoxicated
m,ing,4,命,mìng,life; fate
d,ing,1,钉,dīng,nail
d,ing,3,顶,dǐng,most
d,ing,4,碇,dìng,anchor
t,ing,1,听,tīng,to obey
t,ing,2,停,tíng,to stop
t,ing,3,艇,tǐng,vessel; small ship
t,ing,4,听,tìng,to allow
n,ing,2,宁,níng,peaceful
n,ing,3,拧,nǐng,to disagree
n,ing,4,拧,nìng,stubborn
l,ing,1,昤,līng,sunshine
l,ing,2,零,líng,zero
l,ing,3,领,lǐng,neck
l,ing,4,另,lìng,other; another
q,ing,1,青,qīng,green
q,ing,2,情,qíng,feeling
q,ing,3,廎,qǐng,room
q,ing,4,庆,qìng,to celebrate
j,ing,1,晶,jīng,crystal
j,ing,3,儆,jǐng,to warn
j,ing,4,静,jìng,still; calm
x,ing,1,星,xīng,star
x,ing,2,型,xíng,type
x,ing,3,醒,xǐng,to be awake
x,ing,4,姓,xìng,family name; surname
,iong,1,雍,yōng,harmony
,iong,2,喁,yóng,breathing (of fish)
,iong,3,勇,yǒng,brave
,iong,4,用,yòng,to employ
q,iong,1,銎,qiōng,eye of an axe
q,iong,2,嬛,qióng,alone
j,iong,1,坰,jiōng,environs
j,iong,3,澃,jiǒng,clear
x,iong,1,胸,xiōng,chest
